,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93,96,99
0,-12.807743044234996,-16.702390574805175,-20.502932210372048,-24.336971467569047,-28.04687893543017,-31.82706894189364,-35.59726815262451,-38.93240885180774,-42.966759164992794,-46.13289217253617,-50.16601472629177,-53.088162715632976,-56.86000317744282,-61.08589037795627,-65.53444638351196,-67.79707727296807,-71.82086403127835,-74.02239917202604,-77.27326458652433,-82.26639963533401,-83.08991117124653,-89.74049754146345,-89.6426669072619,-98.44195896667755,-103.12909311643799,-103.28981386852286,-103.0486583189197,-110.48382596529777,-113.37060503720286,-124.13350942952847,-127.6911598461213,-126.94636200848277,-131.19329763631268
